건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
e편한세상 신촌,서울특별시 서대문구 북아현동 149-1번지,1,1,1,1,0,0,1,0,서대문구,북아현동,27110.0,0.0721136112135743,0.2481741054961269,0.1267797860568056,0.318148284765769,12552.0,0.400095602294455,0.2352613129381771,0.3646430847673677,16.0,7.0,18.0,27.0,4.0,3.0
e편한세상 염창,서울특별시 강서구 염창동 277-24번지,0,1,1,0,0,0,0,0,강서구,염창동,40921.0,0.0792747000317685,0.1877764473008968,0.1234573935143324,0.3529239265902593,16650.0,0.3067867867867868,0.2143543543543543,0.4788588588588588,61.0,39.0,99.0,84.0,8.0,7.0
e편한세상 영등포 아델포레,서울특별시 영등포구 대림동 917-49번지,1,1,1,1,0,0,1,0,영등포구,대림동,45956.0,0.0389938201758203,0.3420880842545043,0.1303855862128993,0.2680825137087649,23976.0,0.482982982982983,0.2539205872539206,0.2630964297630964,77.0,39.0,31.0,88.0,5.0,46.0
e편한세상 화랑대,서울특별시 중랑구 묵동 81-17번지,0,1,1,1,0,0,0,0,중랑구,묵동,51033.0,0.0453823996237728,0.2943977426371171,0.132110595105128,0.2860502028099465,24094.0,0.4155806424836059,0.2518884369552586,0.3325309205611355,80.3,39.0,66.3,88.7,8.4,9.9
가락1차 현대아파트 재건축 정비사업,서울특별시 송파구 문정동 3번지,1,1,1,1,0,0,1,0,송파구,문정동,63439.0,0.0524440801399769,0.2316713693469317,0.1460773341320008,0.3715380128942764,32010.0,0.4861918150577944,0.2173070915338956,0.2965010934083099,238.0,83.0,48.0,214.0,7.0,16.0
가락동171-5 가로주택 정비사업,서울특별시 송파구 가락동 171-5번지,1,0,0,0,0,1,1,0,송파구,가락동,82383.0,0.0742386171904397,0.2402801548863236,0.1148416542247793,0.3270334899190367,33699.0,0.3003353215228938,0.2353482299178017,0.4643164485593044,73.0,35.0,97.0,125.0,12.0,7.0
가락미륭아파트 재건축정비사업,서울특별시 송파구 가락동 138번지,1,1,1,1,1,1,1,1,송파구,가락동,82383.0,0.0742386171904397,0.2402801548863236,0.1148416542247793,0.3270334899190367,33699.0,0.3003353215228938,0.2353482299178017,0.4643164485593044,73.0,35.0,97.0,125.0,12.0,7.0
가락현대5차 소규모 재건축 정비사업,서울특별시 송파구 가락동 161-3번지,1,1,1,1,0,0,1,0,송파구,가락동,82383.0,0.0742386171904397,0.2402801548863236,0.1148416542247793,0.3270334899190367,33699.0,0.3003353215228938,0.2353482299178017,0.4643164485593044,73.0,35.0,97.0,125.0,12.0,7.0
가양동 1457-1번지 도시형생활주택,서울특별시 강서구 가양동 1457-1번지,0,0,0,0,0,0,0,0,강서구,가양동,41559.0,0.0450684568926105,0.3677903703168989,0.0996655357443634,0.3131451671118169,22269.0,0.4943194575418743,0.2618887242354843,0.2437918182226413,257.0,106.0,37.0,194.0,6.0,44.0
가재울센트레빌아파트,서울특별시 서대문구 남가좌동 381번지,0,0,1,0,0,0,0,0,서대문구,남가좌동,45212.0,0.0884499690347695,0.2299610722816951,0.1201229762010085,0.3128151818101389,19448.0,0.3576203208556149,0.2162690250925545,0.4261106540518305,81.0,28.0,81.0,74.0,9.0,3.0
갈현동 도시형생활주택,서울특별시 은평구 갈현동 481-20번지,0,0,0,0,0,0,0,0,은평구,갈현동,41151.0,0.0324171952078928,0.303516317950961,0.140847124006707,0.2728244757114043,19973.0,0.4269263505732739,0.2572973514244229,0.3157762980023031,80.0,46.0,120.0,107.0,15.0,12.0
강남 더샵 포레스트,서울특별시 강남구 수서동 537번지,1,1,1,1,0,0,1,0,강남구,수서동,21165.0,0.0504606661941885,0.3829435388613276,0.0791400897708481,0.2819277108433735,10599.0,0.45306160958581,0.2659684875931691,0.2809699028210208,32.0,11.0,6.0,25.0,1.0,5.0
