건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
강서센트레빌3차,서울특별시 강서구 방화동 893번지,0,0,1,0,0,0,0,0,강서구,방화동,60833.0,0.04435092795029014,0.33348675883155526,0.11015402824125063,0.30131671954366873,31300.0,0.4803833865814697,0.24594249201277954,0.2736741214057508
강서한강자이,서울특별시 강서구 가양동 1500번지,0,1,1,1,0,0,0,0,강서구,가양동,41559.0,0.045068456892610506,0.3677903703168989,0.09966553574436343,0.31314516711181695,22269.0,0.49431945754187434,0.2618887242354843,0.24379181822264134
강서힐스테이트,서울특별시 강서구 화곡동 1165번지,0,1,1,1,0,1,0,0,강서구,화곡동,211821.0,0.043914437189891464,0.27118652069435983,0.14740748084467545,0.3204167669872203,107821.0,0.47628013095779115,0.24046336056983333,0.2832565084723755
개나리 래미안,서울특별시 강남구 역삼동 754번지,0,0,0,0,1,0,0,0,강남구,역삼동,68953.0,0.040041767580815915,0.152857743680478,0.15587429118384988,0.40176642060533985,39460.0,0.6150532184490624,0.14442473390775468,0.24052204764318297
개나리SK뷰,서울특별시 강남구 역삼동 716-1번지,0,0,1,1,0,0,0,0,강남구,역삼동,68953.0,0.040041767580815915,0.152857743680478,0.15587429118384988,0.40176642060533985,39460.0,0.6150532184490624,0.14442473390775468,0.24052204764318297
개봉동 403-84 도시형생활주택,서울특별시 구로구 개봉동 403-84번지,0,0,0,0,0,0,0,0,구로구,개봉동,81213.0,0.05196212429044611,0.3299841158435226,0.10924359400588576,0.27999211948825925,35932.0,0.33479906490036737,0.2854836914171212,0.3797172436825114
개봉동 역세권 청년주택,서울특별시 구로구 개봉동 403-29번지,1,1,0,0,0,0,1,0,구로구,개봉동,81213.0,0.05196212429044611,0.3299841158435226,0.10924359400588576,0.27999211948825925,35932.0,0.33479906490036737,0.2854836914171212,0.3797172436825114
개봉역 림괄지역주택조합 공동주택(가칭),서울특별시 구로구 개봉동 199-4번지,0,1,1,1,0,0,0,0,구로구,개봉동,81213.0,0.05196212429044611,0.3299841158435226,0.10924359400588576,0.27999211948825925,35932.0,0.33479906490036737,0.2854836914171212,0.3797172436825114
개봉제1주택재개발아파트,서울특별시 구로구 개봉동 138-2번지,0,0,1,1,0,0,0,0,구로구,개봉동,81213.0,0.05196212429044611,0.3299841158435226,0.10924359400588576,0.27999211948825925,35932.0,0.33479906490036737,0.2854836914171212,0.3797172436825114
개포 더샵 트리에,서울특별시 강남구 개포동 651-1번지,0,0,1,1,1,0,0,0,강남구,개포동,89148.0,0.07478574954009064,0.24489612778749945,0.10421994884910486,0.30978821734643514,35453.0,0.26660649310354556,0.24415423236397485,0.4892392745324796
