건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
밤섬 리베뉴Ⅰ,서울특별시 마포구 상수동 402번지,0,1,1,1,0,0,0,0,1
밤섬 리베뉴Ⅱ,서울특별시 마포구 상수동 398번지,1,1,1,1,0,0,1,0,1
밤섬 예가 클래식,서울특별시 마포구 현석동 118번지,0,0,1,0,0,0,0,0,1
밤섬경남아너스빌,서울특별시 마포구 신수동 325번지,0,1,1,1,0,0,0,0,1
방배 e-편한세상,서울특별시 서초구 방배동 884-2번지,0,0,0,0,1,0,0,0,0
방배 서리풀 그랑블,서울특별시 서초구 방배동 3279번지,0,0,0,0,0,0,0,0,1
방배 신동아 럭스빌 아파트,서울특별시 서초구 방배동 1026-14번지,0,0,0,0,1,0,0,0,0
방배 어울림,서울특별시 서초구 방배동 998번지,0,0,1,0,0,0,0,0,0
방배 제14주택재건축정비사업조합,서울특별시 서초구 방배동 975-35번지,1,1,1,1,0,0,1,0,1
방배 청광아트빌 14차,서울특별시 서초구 방배동 482-4번지,0,0,0,0,1,0,0,0,0
방배2차e-편한세상,서울특별시 서초구 방배동 881-1번지,0,0,0,0,1,0,0,0,0
방배7구역 주택재건축정비사업,서울특별시 서초구 방배동 891-3번지,1,1,1,1,1,1,1,0,1
방배그랑자이,서울특별시 서초구 방배동 1028-1번지,0,0,1,1,0,0,0,0,1
방배동 롯데캐슬 로제,서울특별시 서초구 방배동 849-30번지,0,0,1,1,0,0,0,0,1
방배동 현대 에레츠아파트,서울특별시 서초구 방배동 88-2번지,0,0,1,1,0,0,0,0,1
방배삼익아파트 주택재건축 정비사업,서울특별시 서초구 방배동 1018-1번지,1,1,1,1,0,0,1,0,1
방배신동아아파트,서울특별시 서초구 방배동 988-1번지,1,1,1,1,1,1,1,1,0
방배중앙 센트레빌,서울특별시 서초구 방배동 777-12번지,0,0,0,0,0,0,0,0,1
방이동 56번지 공동주택,서울특별시 송파구 방이동 56번지,1,1,1,1,1,0,1,0,0
방이동 공동주택,서울특별시 송파구 방이동 178-21번지,0,0,0,0,0,0,0,0,1
방학동삼성래미안,서울특별시 도봉구 방학동 720-18번지,0,0,0,0,1,0,0,0,0
방화 스카이 포레,서울특별시 강서구 방화동 850번지,1,1,1,1,0,0,1,0,0
방화동 168-50(차고지부지) 공공주택 설계용역,서울특별시 강서구 마곡동 1410번지,0,0,0,0,1,0,0,0,0
방화동 공항시장 정비사업 복합시설 신축공사,서울특별시 강서구 방화동 620-100번지,1,0,1,1,0,0,1,0,0
방화동 동일스위트2차,서울특별시 강서구 방화동 895번지,0,0,1,0,0,0,0,0,0
방화동 행복주택 및 주민센터,서울특별시 강서구 방화동 850번지,1,1,1,1,0,0,1,0,1
백년빌,서울특별시 서초구 서초동 1431-2번지,0,0,0,0,0,0,0,0,1
백련산 SK VIEW IPARK,서울특별시 은평구 응암동 767번지,0,0,1,1,0,0,0,0,1
백련산 힐스테이트 3차,서울특별시 은평구 응암동 663번지,1,1,1,1,0,0,1,0,1
백련산파크자이,서울특별시 은평구 응암동 626-108번지,0,0,0,0,0,0,0,0,1
백련산해모로,서울특별시 은평구 응암동 768번지,1,1,1,1,0,0,1,0,1
백련산힐스테이트2차,서울특별시 은평구 응암동 611번지,1,0,1,1,0,1,1,0,0
번동주공5단지아파트,서울특별시 강북구 번동 229번지,1,0,0,0,0,0,1,0,0
번동주공영구임대아파트2단지,서울특별시 강북구 번동 241번지,0,0,0,0,0,0,0,0,1
베르디움 STAY1,서울특별시 은평구 대조동 241번지,1,1,1,1,1,0,1,0,0
벽산아파트,서울특별시 금천구 시흥동 92-2번지,0,0,0,0,1,0,0,0,0
보라매 e편한세상,서울특별시 동작구 신대방동 720번지,0,0,0,1,0,0,0,0,0
보라매 센트럴타운,서울특별시 동작구 대방동 385-16번지,0,0,0,0,0,0,0,0,1
보라매자이 더 포레스트,서울특별시 동작구 신대방동 724번지,0,0,1,1,0,0,0,0,1
보람 더하임,서울특별시 강서구 염창동 305번지,0,0,0,0,1,0,0,0,0
보람아파트,서울특별시 강서구 염창동 271-4번지,0,0,0,0,0,0,0,0,1
보문아이파크아파트,서울특별시 성북구 보문동3가 2번지,0,0,0,0,1,0,0,0,0
보문제5구역,서울특별시 성북구 보문동1가 196-11번지,1,0,1,1,1,0,1,1,1
봉천 제4-1-2구역 주택재개발 아파트,서울특별시 관악구 봉천동 산101번지,1,1,1,1,0,1,1,0,0
봉천1-1 주택재건축 정비사업 신축공사,서울특별시 관악구 봉천동 728-57번지,1,1,1,1,1,1,1,1,0
봉천동 LH매입형 임대주택,서울특별시 관악구 봉천동 948-18번지,0,0,0,0,0,0,0,1,1
봉천동649-189 가로주택정비사업,서울특별시 관악구 봉천동 649-189번지,0,0,0,0,0,0,0,0,1
봉천제14구역 재개발정비사업,서울특별시 관악구 봉천동 4-51번지,1,1,1,1,0,0,1,0,1
북아현1-1재정비촉진구역주택재개발아파트,서울특별시 서대문구 북아현동 1-954번지,0,1,1,1,1,0,0,0,0
북아현1-2구역주택재개발아파트,서울특별시 서대문구 북아현동 174번지,1,1,1,1,0,0,1,0,1
북아현2 재정비촉진구역 주태재개발정비사업 공동주택 신축공사,서울특별시 서대문구 북아현동 520번지,1,1,1,1,0,0,1,0,1
북한강 아파트,서울특별시 용산구 이촌동 422번지,0,0,0,0,1,0,0,0,0
