건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
사직동 311-10 공동주택,서울특별시 종로구 사직동 311-10번지,1,0,1,1,0,0,1,0,1
산호생모리츠빌라,서울특별시 도봉구 도봉동 593-37번지,0,0,0,0,1,0,0,0,0
산호아파트 주택재건축정비사업,서울특별시 용산구 원효로4가 118-16번지,0,1,1,1,0,0,0,0,1
삼선 SK VIEW,서울특별시 성북구 삼선동3가 29-1번지,1,1,1,1,1,0,1,0,1
삼선동2가77번지도시형생활주택,서울특별시 성북구 삼선동2가 77번지,0,1,0,0,0,1,0,0,0
삼선제5주택재개발 공동주택,서울특별시 성북구 삼선동1가 260-1번지,1,1,1,1,1,1,1,0,1
삼선현대힐스테이트,서울특별시 성북구 삼선동2가 420번지,0,0,1,0,0,0,0,0,0
"삼성동 71-8,9 주거복합",서울특별시 강남구 삼성동 71-8번지,0,0,0,0,0,0,0,0,1
삼성동센트럴아이파크,서울특별시 강남구 삼성동 188번지,0,1,0,1,0,0,0,0,1
삼성래미안아파트,서울특별시 구로구 구로동 256-1번지,0,0,0,0,1,0,0,0,0
삼성지구 도시형생활주택,서울특별시 강남구 삼성동 109-21번지,0,0,0,0,0,0,0,0,1
삼성홈스테이지역주택조합아파트,서울특별시 서초구 서초동 1478-13번지,0,0,0,0,0,0,0,0,1
삼익플라주아파트,서울특별시 영등포구 양평동3가 104번지,0,0,1,0,0,0,0,0,1
삼전동 쌍용하이츠빌라 가로주택정비사업,서울특별시 송파구 삼전동 53-8번지,0,0,0,0,0,0,0,0,1
삼진연립가로주택,서울특별시 양천구 신월동 487-9번지,0,0,0,0,0,0,0,0,1
삼진연립아파트,서울특별시 양천구 신월동 487-9번지,0,0,0,0,0,0,0,0,1
삼호가든 1.2차 아파트,서울특별시 서초구 반포동 30-2번지,0,0,1,1,1,0,0,0,1
삼환가락아파트 주택재건축정비사업,서울특별시 송파구 가락동 176번지,1,1,1,1,0,0,1,0,0
삼환로즈빌,서울특별시 구로구 고척동 92-6번지,0,0,0,0,1,0,0,0,0
삼흥연립주택재건축정비사업,서울특별시 강북구 수유동 486-2번지,1,0,1,1,0,0,1,0,1
상계동 690 안심주택,서울특별시 노원구 상계동 690번지,1,0,0,0,1,1,1,1,1
상계마들단지,서울특별시 노원구 상계동 771-3번지,1,0,1,1,0,0,1,0,1
상계장암지구 5단지,서울특별시 노원구 상계동 블록,0,0,0,0,0,0,0,0,1
상계주공5단지 재건축사업,서울특별시 노원구 상계동 721번지,1,1,1,1,1,1,1,1,1
상도 두산위브,서울특별시 동작구 상도동 27-3번지,0,0,1,1,0,0,0,0,0
상도 엠코타운 센트럴파크,서울특별시 동작구 상도동 531번지,1,0,1,1,0,0,1,0,1
상도 엠코타운 애스톤파크,서울특별시 동작구 상도동 산64-31번지,1,0,1,1,0,0,1,0,1
상도 효성해링턴플레이스,서울특별시 동작구 상도동 536번지,0,0,0,1,0,0,0,0,0
상도2차 두산위브트레지움 아파트,서울특별시 동작구 상도동 535번지,0,1,1,1,0,0,0,0,1
"상도동 211-467,435 행복주택",서울특별시 동작구 상도동 211-467번지,0,0,0,0,1,0,0,0,0
상도동 상도스타리움 지역주택조합 아파트,서울특별시 동작구 상도동 182-13번지,0,1,1,1,0,0,0,0,1
상도동 소규모 재건축 공동주택,서울특별시 동작구 상도동 211-447번지,0,0,0,0,0,0,0,0,1
상도역 롯데캐슬,서울특별시 동작구 상도동 904번지,0,1,1,1,0,0,0,0,1
상도파크자이,서울특별시 동작구 상도동 363-3번지,0,1,1,1,0,0,0,0,1
상도푸르지오클라베뉴,서울특별시 동작구 상도동 산65-74번지,0,1,1,1,0,0,0,0,1
상봉7구역 주상복합,서울특별시 중랑구 상봉동 88-91번지,0,0,1,1,0,0,0,0,0
상암월드컵파크10단지,서울특별시 마포구 상암동 1736번지,0,0,1,1,0,0,0,0,1
상암월드컵파크12단지,서울특별시 마포구 상암동 1743번지,0,0,1,1,0,0,0,0,1
상암월드컵파크9단지,서울특별시 마포구 상암동 1752번지,0,0,1,1,0,0,0,0,1
새로나음,서울특별시 강서구 방화동 451-10번지,0,0,0,0,0,1,0,0,0
새성북연립재건축아파트,서울특별시 노원구 월계동 382-15번지,0,0,1,0,0,0,0,0,1
새절역 두산위브 트레지움,서울특별시 은평구 신사동 170-12번지,0,0,0,1,0,0,0,0,0
생모리츠빌라,서울특별시 도봉구 도봉동 593-37번지,0,0,0,0,1,0,0,0,0
서대문 푸르지오 센트럴파크,서울특별시 서대문구 홍제동 57-5번지,1,1,1,1,0,1,1,0,1
서도휴빌,서울특별시 성북구 하월곡동 231번지,0,0,0,0,0,0,0,0,1
서울 광진구 자양동 690 공동주택,서울특별시 광진구 자양동 690번지,1,1,1,1,0,1,1,0,1
서울 방학역 도심 공공주택 복합지구 공동주택,서울특별시 도봉구 도봉동 622-6번지,0,1,0,0,0,0,0,0,1
서울 신길2 도심 공공주택 복합지구 공공주택,서울특별시 영등포구 신길동 205-136번지,1,1,1,1,0,0,1,0,1
서울 쌍문역 동측 도심 공공주택 복합사업,서울특별시 도봉구 창동 663-2번지,1,1,1,1,0,1,1,0,0
서울 쌍문역 서측 도심 공공주택 복합지구 공동주택,서울특별시 도봉구 쌍문동 138-1번지,0,1,1,1,0,1,0,0,1
서울 연신내역 도심공공주택 복합사업,서울특별시 은평구 불광동 319-1번지,0,1,0,0,0,0,0,0,1
서울 용마터널 인근 도심 공공주택 복합지구 내 공동주택,서울특별시 중랑구 면목동 블록,1,1,1,1,0,1,1,0,0
서울 중계3 LH아파트,서울특별시 노원구 중계동 358번지,1,0,1,1,0,0,1,0,1
서울 중계9 LH아파트,서울특별시 노원구 하계동 256번지,1,0,1,1,0,0,1,0,1
서울 증산4구역 1-2BL 도심 공공주택,서울특별시 은평구 증산동 205-33번지,0,0,1,1,0,0,0,0,0
서울 증산4구역 도심공공주택 복합사업,서울특별시 은평구 증산동 205-33번지,1,1,1,1,0,0,1,0,0
서울강남A4BL아파트 건설공사6공구,서울특별시 강남구 자곡동 블록,1,1,1,1,1,1,1,0,1
서울대벤처타운역 푸르지오,서울특별시 관악구 신림동 316-55번지,1,1,1,1,0,1,1,0,1
서울대입구역 더하이브 센트럴,서울특별시 관악구 봉천동 37-83번지,0,0,1,0,0,0,0,0,0
서울동작 행복주택,서울특별시 동작구 동작동 326번지,1,1,0,0,0,1,1,1,1
서울숲 더샵,서울특별시 성동구 행당동 155-1번지,0,1,1,1,0,0,0,0,1
서울숲 르씨엘,서울특별시 성동구 금호동4가 1555번지,0,0,1,0,0,0,0,0,1
서울숲2차푸르지오,서울특별시 성동구 금호동4가 235번지,0,1,1,1,0,0,0,0,1
서울숲아이파크,서울특별시 성동구 송정동 104번지,0,0,1,1,0,0,0,0,0
서울숲푸르지오아파트,서울특별시 성동구 금호동4가 340번지,0,0,1,1,0,0,0,0,1
서울숲힐스테이트,서울특별시 성동구 성수동2가 843번지,0,0,0,1,0,0,0,0,1
서울시 노동자복지관 복합화사업,서울특별시 구로구 구로동 98-5번지,1,0,0,0,0,0,1,0,1
"서울시 양천구 신월동 25,25-1 도시형생활주택 신축공사",서울특별시 양천구 신월동 25번지,0,1,1,0,0,0,0,0,1
서울시 은평구 대조동 2-9번지 일원 역세권 청년주택 신축공사,서울특별시 은평구 대조동 2-9번지,1,1,1,0,1,0,1,0,0
서울역 한라비발디 센트럴,서울특별시 중구 만리동2가 10번지,0,0,1,1,0,0,0,0,1
서울역센트럴자이,서울특별시 중구 만리동2가 176-1번지,0,0,1,1,0,0,0,0,1
서울특별시 강동구 길동 SH 매입임대주택,서울특별시 강동구 길동 228-1번지,0,0,0,0,0,0,0,0,1
서울특별시 중랑구 면목동 194번지 일대 가로주택정비사업,서울특별시 중랑구 면목동 194-33번지,1,0,0,1,0,1,1,1,0
서초 무지개아파트,서울특별시 서초구 서초동 1335번지,1,1,1,1,0,0,1,0,1
서초 삼호1차 재건축아파트,서울특별시 서초구 서초동 1310번지,1,0,1,1,0,0,1,0,1
서초 엠코타운 젠트리스,서울특별시 서초구 신원동 블록,0,0,1,1,0,0,0,0,1
서초 중앙하이츠 1구역,서울특별시 서초구 방배동 1000-4번지,0,0,0,0,1,0,0,0,0
서초 중앙하이츠 2구역,서울특별시 서초구 방배동 1000-3번지,0,0,0,0,1,0,0,0,0
서초 푸르지오 써밋,서울특별시 서초구 서초동 1310번지,1,1,1,1,0,0,1,0,1
서초구 서초동 1622번지 일대 가로주택정비사업,서울특별시 서초구 서초동 1622-4번지,0,0,0,0,0,0,0,0,1
서초구 양재동 1-26번지 역세권 청년주택,서울특별시 서초구 양재동 1-26번지,0,0,0,0,0,0,0,0,1
서초그랑자이,서울특별시 서초구 서초동 1335번지,1,1,1,1,0,0,1,0,0
서초네이처힐 4단지,서울특별시 서초구 우면동 720번지,0,1,1,1,0,0,0,0,1
서초네이처힐1단지,서울특별시 서초구 우면동 707번지,0,0,1,1,0,0,0,0,1
서초네이처힐2단지,서울특별시 서초구 우면동 712번지,0,1,1,1,0,0,0,0,1
서초네이처힐6단지,서울특별시 서초구 우면동 737번지,0,1,1,1,0,0,0,0,1
서초네이처힐7단지,서울특별시 서초구 우면동 735번지,0,0,1,1,0,0,0,0,1
서초동 1622번지일대 가로주택정비사업,서울특별시 서초구 서초동 1622-4번지,1,0,0,0,0,0,1,0,0
서초두산위브트레지움,서울특별시 서초구 서초동 1310-3번지,0,0,1,1,0,0,0,0,1
서초선포레,서울특별시 서초구 내곡동 블록,0,0,0,0,0,0,0,0,1
서초센트럴IPARK,서울특별시 서초구 서초동 1582-3번지,0,0,1,1,0,0,0,0,1
서초신동아아파트 주택재건축 정비사업,서울특별시 서초구 서초동 1333번지,1,1,1,1,1,1,1,1,1
서초아트자이,서울특별시 서초구 서초동 1583-10번지,0,0,1,1,0,0,0,0,1
서초포레스타3단지,서울특별시 서초구 신원동 블록,0,1,1,1,0,0,0,0,1
서초포레스타5단지,서울특별시 서초구 신원동 블록,1,1,1,1,0,0,1,0,1
서초포레스타6단지,서울특별시 서초구 신원동 블록,1,1,1,1,0,0,1,0,1
서초포레스타7단지,서울특별시 서초구 신원동 블록,1,1,1,1,0,0,1,0,1
서해그랑블,서울특별시 구로구 오류동 351번지,1,0,1,0,0,0,1,0,0
석관1주택재건축,서울특별시 성북구 석관동 341-16번지,1,1,1,1,0,0,1,0,1
성내동 미주아파트 주택재건축 정비사업,서울특별시 강동구 성내동 547-1번지,0,0,1,1,1,0,0,0,1
성도연립,서울특별시 송파구 풍납동 406번지,0,0,0,0,1,0,0,0,0
성뒤마을 공공주택,서울특별시 서초구 방배동 565-2번지,1,1,1,1,1,1,1,0,1
성북 제2구역 주택재개발 정비사업,서울특별시 성북구 성북동 224-1번지,0,0,1,1,0,1,0,0,1
성북3구역 주택재개발 아파트,서울특별시 성북구 성북동 3-38번지,0,0,0,1,0,0,0,0,0
성북구 하월곡동 역세권 청년주택 신축공사,서울특별시 성북구 하월곡동 88-513번지,0,1,0,0,0,0,0,1,1
성북동 186 주상복합,서울특별시 성북구 성북동 186번지,0,0,0,0,0,0,0,0,1
성북동외교관사택단지,서울특별시 성북구 성북동 산25-99번지,0,0,1,0,0,0,0,0,1
성산(임대)아파트,서울특별시 마포구 성산동 595번지,0,0,1,0,0,0,0,0,0
성수동 장미아파트 주택재건축 정비사업,서울특별시 성동구 성수동1가 656-421번지,0,1,1,1,0,1,0,0,1
성우스타팰리스,서울특별시 동대문구 장안동 585번지,0,1,0,0,0,0,0,0,1
세곡2 소규모 임대주택,서울특별시 강남구 율현동 167번지,0,0,0,0,0,0,0,0,1
세곡리엔파크3단지,서울특별시 강남구 세곡동 516번지,1,0,0,0,0,0,1,0,0
세곡리엔파크5단지,서울특별시 강남구 세곡동 블록,0,1,1,1,0,0,0,0,1
세운 푸르지오 헤리시티,서울특별시 중구 인현동2가 151-1번지,1,1,1,1,1,0,1,1,1
세운6-3-3 공동주택,서울특별시 중구 을지로4가 310-2번지,1,1,1,1,1,1,1,0,1
세운재정비촉진지구 3-8,서울특별시 중구 을지로3가 227번지,0,0,0,0,0,0,0,0,1
세운재정비촉진지구 3-9구역 도시환경정비사업,서울특별시 중구 을지로3가 240-1번지,0,0,1,1,0,0,0,0,1
세이지움 개봉,서울특별시 구로구 개봉동 403-29번지,1,1,0,0,0,0,1,0,1
센타스퀘어 발산,서울특별시 강서구 내발산동 647-1번지,0,0,0,0,0,0,0,0,1
센터스퀘어,서울특별시 강서구 염창동 274-17번지,1,1,1,0,0,1,1,0,0
센트레빌 레우스 1단지,서울특별시 구로구 개봉동 497번지,1,1,1,1,0,0,1,0,0
센트레빌 아스테리움 시그니처,서울특별시 은평구 역촌동 189-1번지,1,0,1,1,0,0,1,0,0
송정역세권 장기전세주택,서울특별시 강서구 공항동 61-1번지,0,1,1,1,0,0,0,0,1
송파 두산위브,서울특별시 송파구 오금동 135번지,1,1,1,1,1,0,1,0,0
송파 레이크파크 호반써밋Ⅰ,서울특별시 송파구 거여동 블록,1,1,1,1,0,0,1,0,1
송파 레이크파크 호반써밋Ⅱ,서울특별시 송파구 거여동 블록,1,1,1,1,0,0,1,0,1
송파 시그니처 롯데캐슬,서울특별시 송파구 거여동 204-123번지,1,1,1,1,0,0,1,0,1
송파 와이즈더샵,서울특별시 송파구 장지동 895번지,0,1,1,1,0,1,0,0,1
송파 호반베르디움 더 퍼스트,서울특별시 송파구 오금동 619번지,0,1,1,1,0,0,0,0,1
송파창의혁신 공공주택 건설공사(1단지),서울특별시 송파구 가락동 블록,1,0,1,1,0,0,1,0,0
송파창의혁신 공공주택 건설공사(2단지),서울특별시 송파구 가락동 블록,1,1,1,1,0,0,1,0,1
송파파인타운1단지,서울특별시 송파구 장지동 833번지,0,0,1,1,0,0,0,0,1
송파파인타운3단지,서울특별시 송파구 장지동 849번지,0,0,1,1,0,1,0,0,1
송파파인타운4단지,서울특별시 송파구 장지동 837번지,0,0,1,0,0,0,0,0,0
송파파크데일3단지,서울특별시 송파구 마천동 605번지,0,0,0,0,1,0,0,0,0
수락리버타운,서울특별시 노원구 상계동 블록,0,0,0,0,0,0,0,0,1
수명산 SK VIEW,서울특별시 양천구 신월동 1053번지,1,0,1,1,0,0,1,0,1
수명산 동원데자뷰아파트,서울특별시 양천구 신월동 1-10번지,0,0,1,1,0,0,0,0,0
수명산 롯데캐슬,서울특별시 양천구 신월동 1-4번지,0,0,1,1,0,0,0,0,1
수색 제2-2구역 재개발 아파트,서울특별시 은평구 수색동 산31-3번지,0,0,0,0,1,0,0,0,0
수색8구역 공동주택,서울특별시 은평구 수색동 16-2번지,1,1,1,1,0,0,1,0,1
수요자 맞춤형(연극인전용) 2호 공공임대주택,서울특별시 성북구 성북동 186-12번지,0,0,0,0,0,1,0,1,0
수요자 맞춤형(연극인전용)공공임대주택,서울특별시 성북구 삼선동2가 77번지,0,1,0,0,0,1,0,0,0
수유역 두산위브 아파트 1,서울특별시 강북구 번동 410번지,0,0,1,1,0,0,0,0,0
수유역 두산위브 아파트 2,서울특별시 강북구 번동 411번지,0,0,1,0,0,0,0,0,0
스마트빌 신축공사,서울특별시 영등포구 대림동 990-10번지,0,0,0,0,1,0,0,0,1
시티프라디움 더 강남 101동,서울특별시 강남구 역삼동 654-4번지,0,0,0,0,0,0,0,0,1
시티프라디움 더 강남 201동,서울특별시 강남구 역삼동 654번지,0,0,0,0,0,0,0,0,1
시흥연립 가로주택정비사업 공동주택,서울특별시 금천구 시흥동 864번지,0,0,0,0,0,0,0,0,1
신길10 재정비촉진구역 주택재건축 정비사업,서울특별시 영등포구 신길동 3590번지,1,1,1,1,0,1,1,0,1
신길13재정비촉진구역 공공재건축 정비사업,서울특별시 영등포구 신길동 340-1번지,0,1,1,1,0,0,0,0,1
신길동 3608 역세권 청년주택,서울특별시 영등포구 신길동 3608번지,1,0,1,0,0,0,1,0,0
신길센트럴아이파크,서울특별시 영등포구 신길동 4955번지,1,0,1,0,0,0,1,0,0
신길제2구역 재개발정비사업,서울특별시 영등포구 신길동 190번지,1,1,1,1,0,1,1,1,1
신길파크자이,서울특별시 영등포구 신길동 3002-1번지,0,0,1,1,0,0,0,0,1
신내 3지구 3단지 아파트,서울특별시 중랑구 신내동 187번지,0,0,0,0,0,0,0,0,1
신내 3지구 4단지 아파트,서울특별시 중랑구 신내동 1-5번지,0,0,0,0,0,0,0,0,1
신내3지구 4단지,서울특별시 중랑구 신내동 블록,1,1,1,0,0,0,1,0,0
신내동 의료안심주택,서울특별시 중랑구 신내동 314-25번지,0,0,0,0,1,0,0,0,1
신내역 금강펜테리움 센트럴파크,서울특별시 중랑구 망우동 블록,1,1,1,1,0,1,1,0,1
신내역 프라디움 더 테라스,서울특별시 중랑구 망우동 584번지,0,1,1,1,0,0,0,0,1
신내우디안1단지,서울특별시 중랑구 신내동 816번지,1,1,1,1,0,0,1,0,1
신내우디안2단지,서울특별시 중랑구 신내동 817번지,1,1,1,1,0,0,1,0,1
신내월드메르디앙,서울특별시 중랑구 신내동 482-1번지,0,0,0,0,1,0,0,1,0
신당KCC스위첸,서울특별시 중구 신당동 85-10번지,0,0,1,1,0,0,0,0,1
신당제8구역 주택재개발정비사업,서울특별시 중구 신당동 321-1번지,1,1,1,1,0,0,1,0,0
신당푸르지오,서울특별시 중구 신당동 850번지,0,0,0,0,1,0,0,0,0
신대림2차 신동아파밀리에,서울특별시 영등포구 대림동 929-56번지,0,0,1,1,0,0,0,0,1
신대방동 역세권 청년주택,서울특별시 동작구 신대방동 351-5번지,0,0,0,0,0,0,0,0,1
신도림동 00아파트,서울특별시 구로구 신도림동 360-1번지,0,0,0,0,0,0,0,0,1
신도림동 대림아파트,서울특별시 구로구 신도림동 642번지,0,0,0,0,1,0,0,0,0
신도림아이파크,서울특별시 구로구 신도림동 332-1번지,0,0,1,1,0,0,0,0,1
신림1재정비촉진구역 재개발정비사업(획지1-1),서울특별시 관악구 신림동 808번지,1,1,1,1,1,0,1,0,1
신림1재정비촉진구역 재개발정비사업(획지1-2),서울특별시 관악구 신림동 808번지,0,1,1,1,1,0,0,0,0
신림1재정비촉진구역 재개발정비사업(획지1-3),서울특별시 관악구 신림동 808번지,1,1,1,1,1,0,1,0,1
신림1재정비촉진구역 재정비촉진계획(획지1-6),서울특별시 관악구 신림동 808번지,1,0,1,1,1,0,1,0,1
신림1재정비촉진지구 재정비촉진계획(획지1-4),서울특별시 관악구 신림동 808번지,1,1,1,1,1,1,1,0,1
신림동 628-1 OO도시형생활주택,서울특별시 관악구 신림동 628-1번지,0,0,0,0,0,1,0,0,1
신림동 역세권 청년주택,서울특별시 관악구 신림동 240-1번지,0,0,0,0,0,0,0,0,1
신목동파라곤,서울특별시 양천구 신월동 489-3번지,1,0,1,1,0,0,1,0,1
신반포12차아파트,서울특별시 서초구 잠원동 50-5번지,1,1,1,1,0,0,1,0,1
신반포15차아파트,서울특별시 서초구 반포동 12번지,0,1,1,1,0,0,0,0,1
신반포16차아파트 재건축사업,서울특별시 서초구 잠원동 55-12번지,0,0,1,1,0,0,0,0,1
신반포18차 337동 주택재건축정비사업,서울특별시 서초구 잠원동 49-17번지,1,0,1,1,0,0,1,0,1
신반포22차 주택재건축정비사업,서울특별시 서초구 잠원동 65-33번지,1,0,1,1,0,0,1,0,1
신반포자이,서울특별시 서초구 잠원동 66번지,0,0,0,1,0,0,0,0,0
신생보훈주택 재건축아파트,서울특별시 강동구 상일동 180번지,0,0,0,0,0,0,0,0,1
신설1구역 공공재개발사업 건설공사,서울특별시 동대문구 신설동 92-5번지,1,1,1,1,1,0,1,0,0
신수동아너스빌아파트,서울특별시 마포구 신수동 325번지,0,1,1,1,0,0,0,0,1
신영제1구역주택재개발정비사업아파트,서울특별시 종로구 신영동 158-2번지,1,0,1,1,1,1,1,0,0
신용산역 00아파트,서울특별시 용산구 한강로2가 2-5번지,1,1,1,1,0,1,1,0,1
신월곡1구역,서울특별시 성북구 하월곡동 88-142번지,1,1,1,1,1,0,1,0,1
신월동코아루2단지,서울특별시 양천구 신월동 1058번지,0,0,1,1,0,0,0,0,0
신월에비뉴원,서울특별시 양천구 신월동 48-7번지,0,0,0,0,0,0,0,0,1
신정 이펜하우스 2단지,서울특별시 양천구 신정동 블록,0,1,1,1,0,0,0,0,1
신정 이펜하우스 4단지,서울특별시 양천구 신정동 블록,0,1,1,1,0,0,0,0,1
신정 이펜하우스 5단지,서울특별시 양천구 신정동 블록,0,1,1,1,0,0,0,0,1
신정2 재정비촉진구역 1지구 주택재개발 아파트,서울특별시 양천구 신정동 1175-28번지,1,0,1,1,0,0,1,0,1
신정2 재정비촉진구역 1지구 주택재개발 정비사업,서울특별시 양천구 신정동 1175-28번지,1,1,1,1,0,1,1,0,1
신정2재정비촉진구역1지구주택재개발,서울특별시 양천구 신정동 1175-28번지,1,1,1,1,0,0,1,0,1
신정4 재정비촉진구역 재건축사업,서울특별시 양천구 신정동 1200-1번지,1,1,1,1,0,0,1,0,1
신정뉴타운 롯데캐슬,서울특별시 양천구 신월동 612-13번지,1,1,1,1,0,1,1,0,1
신정도시마을주택,서울특별시 양천구 신정동 1289-2번지,1,0,1,0,0,0,1,0,1
신정동 수정아파트,서울특별시 양천구 신정동 733-31번지,1,0,1,1,1,0,1,0,1
신정재정비촉진지구 제1구역3지구 주택재개발정비사업,서울특별시 양천구 신월동 606-17번지,0,0,1,1,0,1,0,0,0
쌍문동 137-94 공동주택 (쌍문동137번지지역주택조합),서울특별시 도봉구 쌍문동 137-94번지,0,0,0,0,0,0,0,0,1
쌍문동 716-36 드림시티 4차 아파트,서울특별시 도봉구 쌍문동 716-36번지,0,0,0,0,0,0,0,0,1
쌍문동 삼성래미안,서울특별시 도봉구 쌍문동 382번지,0,0,0,0,1,0,0,0,0
쌍문역 시티프라디움,서울특별시 도봉구 쌍문동 380-19번지,0,0,1,0,0,0,0,0,1
쌍용 더 플래티넘 용마산,서울특별시 중랑구 면목동 1548번지,0,0,1,0,0,0,0,0,0
쌍용예가클래식,서울특별시 서초구 방배동 776-3번지,0,0,0,0,1,0,0,0,0
아가토스9,서울특별시 관악구 봉천동 1595-7번지,0,0,0,0,1,0,0,0,0
아이유하임,서울특별시 금천구 독산동 1162번지,0,1,0,0,0,0,0,0,0
아크로 리버 뷰 신반포,서울특별시 서초구 잠원동 64-8번지,1,1,1,1,0,1,1,0,1
아크로 삼성,서울특별시 강남구 삼성동 79번지,0,1,1,1,0,1,0,1,1
아크로리버파크,서울특별시 서초구 반포동 2-1번지,1,0,1,1,0,1,1,0,0
아크로타워 스퀘어,서울특별시 영등포구 영등포동7가 145-8번지,1,1,1,1,0,0,1,0,1
아파트,서울특별시 구로구 구로동 113-7번지,0,0,0,0,0,0,0,0,1
아파트 및 부대복리시설,서울특별시 강남구 일원동 615-1번지,1,0,1,1,0,1,1,0,1
"아파트, 입주민쉼터(휴게실)",서울특별시 구로구 오류동 150-42번지,0,0,0,0,0,1,0,0,0
아현아이파크,서울특별시 마포구 아현동 802번지,0,1,1,1,0,1,0,0,1
아현역 푸르지오,서울특별시 서대문구 북아현동 174번지,1,1,1,1,0,0,1,0,1
암사동 공동주택,서울특별시 강동구 암사동 514번지,0,1,1,1,0,0,0,0,1
암사동 대명아파트 가로주택 정비사업,서울특별시 강동구 암사동 447-8번지,0,0,0,0,0,0,0,0,1
앙시레이크타워,서울특별시 송파구 잠실동 305번지,0,1,0,0,1,0,0,0,0
애오개아이파크,서울특별시 마포구 아현동 780번지,0,0,0,0,1,0,0,0,0
양원 금호어울림 포레스트,서울특별시 중랑구 망우동 블록,1,1,1,1,0,0,1,0,1
양재동 역세권 청년주택,서울특별시 서초구 양재동 산17-7번지,1,1,0,0,0,0,1,1,0
양재동(102번지)임대아파트,서울특별시 서초구 양재동 102번지,0,1,1,1,0,0,0,0,1
양재동(212번지)임대아파트,서울특별시 서초구 양재동 212번지,1,0,1,1,0,0,1,0,1
양재리본타워1단지,서울특별시 서초구 양재동 102번지,0,1,1,1,0,0,0,0,1
양재리본타워2단지,서울특별시 서초구 양재동 212번지,1,0,1,1,0,0,1,0,1
양재역세권2030청년주택(민간건축물),서울특별시 서초구 서초동 1365-8번지,0,0,0,0,0,0,0,0,1
양지대림아파트,서울특별시 노원구 중계동 587-1번지,0,0,0,1,0,0,0,0,0
양천구 신정동 도시형생활주택(원룸형 아파트),서울특별시 양천구 신정동 119-2번지,0,0,0,0,0,0,0,0,1
양천중앙하이츠,서울특별시 양천구 신정동 1314번지,0,0,1,1,0,0,0,0,1
양평 유성빌라 가오주택정비사업,서울특별시 영등포구 양평동6가 84번지,1,0,0,0,0,0,1,0,0
양평 제11구역 도시환경정비사업 아파트신축공사,서울특별시 영등포구 양평동1가 148-8번지,0,0,0,0,0,0,0,0,1
양평동1차 태승훼미리 아파트,서울특별시 영등포구 양평동3가 103번지,0,0,1,0,0,0,0,0,0
양평역 미소지움,서울특별시 영등포구 양평동3가 29-1번지,0,0,1,0,0,1,0,0,1
양평제12구역 도시환경정비사업 공동주택,서울특별시 영등포구 양평동1가 265-1번지,0,1,1,1,0,0,0,0,0
양평제12구역아파트,서울특별시 영등포구 양평동1가 243-1번지,1,1,1,1,0,1,1,0,1
어스빌리지,서울특별시 구로구 궁동 136-12번지,0,0,0,0,0,0,0,0,1
어쩌다집 @상암,서울특별시 마포구 상암동 31번지,0,0,0,0,0,0,0,0,1
에드가 상계,서울특별시 노원구 상계동 1412번지,0,1,0,0,0,1,0,1,1
에드가 수유,서울특별시 강북구 수유동 47-52번지,0,1,0,0,0,0,0,1,1
에드가 휘경,서울특별시 동대문구 휘경동 381번지,0,0,0,0,0,1,0,1,1
에비뉴원 마포,서울특별시 마포구 망원동 439-5번지,1,1,1,0,0,1,1,0,1
에스유1025-A,서울특별시 노원구 상계동 1025-32번지,0,0,0,0,0,0,0,0,1
에스유1025비,서울특별시 노원구 상계동 1025-40번지,0,0,0,0,0,0,0,0,1
에피소드 수유 838,서울특별시 강북구 수유동 740번지,0,0,0,0,0,0,0,0,1
엘지한강자이아파트,서울특별시 용산구 이촌동 430번지,0,0,0,0,1,0,0,0,0
여의도 대교아파트 재건축정비사업,서울특별시 영등포구 여의도동 41번지,1,1,1,1,0,0,1,0,1
여의도 한양아파트 주택재건축 정비사업,서울특별시 영등포구 여의도동 42번지,1,1,1,1,0,0,1,0,1
여의도리버뷰,서울특별시 영등포구 신길동 14-3번지,0,0,0,0,0,0,0,0,1
역삼2차아이파크,서울특별시 강남구 역삼동 765-13번지,0,0,1,1,0,0,0,0,0
역삼개나리5차아파트,서울특별시 강남구 역삼동 716-1번지,0,0,1,1,0,0,0,0,1
역삼동 EG SoulLeader,서울특별시 강남구 역삼동 828-28번지,0,0,0,0,0,0,0,0,1
역삼동 레전드힐,서울특별시 강남구 역삼동 765-15번지,0,0,0,0,0,0,0,0,1
역삼청년주택,서울특별시 강남구 역삼동 828-2번지,1,1,0,1,0,0,1,0,1
역촌동 LH 매입약정 임대주택 신축공사,서울특별시 은평구 역촌동 14-7번지,0,1,0,0,0,0,0,0,0
역촌센트레빌,서울특별시 은평구 역촌동 220번지,0,0,1,1,0,1,0,0,1
연극인주택2호,서울특별시 성북구 성북동 186-12번지,0,0,0,0,0,1,0,1,0
연남동 LH참여형 가로주택정비사업,서울특별시 마포구 연남동 244-16번지,0,0,1,0,0,0,0,0,0
연희 공공주택 복합시설,서울특별시 서대문구 연희동 446-27번지,0,0,0,0,0,0,0,0,1
연희동도시형생활주택,서울특별시 서대문구 연희동 220-3번지,0,0,0,0,0,0,0,0,1
연희제1구역 주택재개발 아파트 신축공사,서울특별시 서대문구 연희동 533번지,0,1,0,0,0,0,0,0,1
